                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.50686,                0.71721,                0.86065,                0.97003,                0.98731,                  0.995,                0.88619,                0.64172,                0.69644,                0.84615,             6.7578e-05,             6.7578e-05,             6.7578e-05
                     57,                0.51184,                 0.7402,                0.86941,                0.97056,                0.99337,                  0.995,                0.89022,                0.62068,                0.68085,                0.83858,             6.3533e-05,             6.3533e-05,             6.3533e-05
                     58,                0.50168,                0.71082,                 0.8725,                0.97103,                0.99349,                  0.995,                0.88502,                  0.665,                0.70032,                0.84641,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     59,                0.49559,                 0.6824,                0.84945,                0.97135,                0.98681,                  0.995,                0.89142,                0.62228,                0.68945,                0.83681,             5.5443e-05,             5.5443e-05,             5.5443e-05
                     60,                0.47974,                0.68442,                0.85969,                0.95908,                0.99139,                  0.995,                0.88345,                0.63828,                0.68067,                0.84066,             5.1398e-05,             5.1398e-05,             5.1398e-05
                     61,                0.49004,                0.86018,                0.85343,                0.96527,                0.98953,                  0.995,                0.87906,                0.60722,                0.68718,                0.82454,             4.7353e-05,             4.7353e-05,             4.7353e-05
                     62,                0.47127,                0.83631,                0.83832,                0.96836,                0.98903,                  0.995,                0.88266,                0.61239,                0.69306,                0.83229,             4.3309e-05,             4.3309e-05,             4.3309e-05
                     63,                  0.462,                0.81649,                0.85714,                0.94671,                0.99819,                  0.995,                0.87699,                0.61857,                 0.6888,                0.83623,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     64,                 0.4557,                0.80071,                0.84202,                0.97084,                0.99992,                  0.995,                 0.8835,                 0.6249,                 0.6779,                0.83492,             3.5219e-05,             3.5219e-05,             3.5219e-05
                     65,                0.45076,                0.79298,                0.85416,                0.96552,                      1,                  0.995,                 0.8848,                0.62865,                 0.6822,                0.83644,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     66,                0.43727,                0.79609,                0.84256,                0.97724,                      1,                  0.995,                0.88998,                0.62069,                0.67717,                0.83669,             2.7129e-05,             2.7129e-05,             2.7129e-05
                     67,                0.44589,                0.78411,                0.84294,                0.97634,                0.99732,                  0.995,                0.89306,                 0.6139,                0.67467,                0.83685,             2.3084e-05,             2.3084e-05,             2.3084e-05
                     68,                 0.4303,                0.77818,                0.83765,                0.97785,                0.99534,                  0.995,                 0.8888,                0.60777,                0.67382,                0.83469,             1.9039e-05,             1.9039e-05,             1.9039e-05
                     69,                0.43512,                 0.7782,                0.83252,                0.97689,                0.99664,                  0.995,                 0.8951,                0.59906,                0.66754,                 0.8343,             1.4995e-05,             1.4995e-05,             1.4995e-05
                     70,                0.43079,                0.77209,                0.83647,                0.97425,                 0.9971,                  0.995,                0.89554,                0.60827,                0.66729,                0.83662,              1.095e-05,              1.095e-05,              1.095e-05
